Dialog_ID,Type,Actor,Text,Label
hit:11322_conv:22645,utterance,listener,It is normal to feel nervous when working on something so important. I try to remember that it will soon be over. That helps me sleep.,anxious
hit:11322_conv:22645,utterance,speaker,I have a feeling I'll be counting lots of sheep tonight.,anticipating
hit:5890_conv:11781,situation,none,I am really looking forward to going to the cinema this weekend with my mates.,anticipating
hit:5890_conv:11781,utterance,speaker,I am looking forward to going to the cinema this upcoming weekend.,anticipating
hit:5890_conv:11781,utterance,listener,"That sounds like fun, what kind of movie will you see?",questioning
hit:5890_conv:11781,utterance,speaker,"I believe it is a shark attack movie, so kind of a thriller.",terrified
hit:5890_conv:11781,utterance,listener,"Nice, I love those. I have seen a preview for a shark attack movie that is coming out. I think called Meg, I hope to see that sometime",excited
hit:5890_conv:11781,utterance,speaker,Oh yes that is the movie I think. I love them too. Should be fun.,acknowledging
hit:5228_conv:10456,situation,none,I'm stoked for when I get my big break.  Don't know when it's coming and I know I'll probably have to put up with a bunch of crap. But I'm willing to go through whatever I was put on this Earth to reach the pinnacle of success in this life,excited
hit:5228_conv:10456,utterance,speaker,"I'm looking forward to my big break.  Don't know when it is but I know it'll be in this life because I've been at ground zero and am willing to go through more hell just to reach the decadent, prestigious pinnacle of material success in this lifetime and nothing can stop me",confident
hit:5228_conv:10456,utterance,listener,Sounds like a goal to me. Good luck!,wishing
hit:5228_conv:10456,utterance,speaker,Thanks for you support.,wishing
hit:5228_conv:10456,utterance,listener,You're welcome. Goals is what makes life matters sometimes.,acknowledging
hit:5245_conv:10490,situation,none,"I'm texting 2 girls right now, one 18 and one 24 both smart and super attractive.  I'm curious to see who I'll end up dating first",anticipating
hit:5245_conv:10490,utterance,speaker,I'm curious to see which out of these 2 girls I'm texting I'll end up dating first...one 18 and one 24 both super smart and attractive,apprehensive
hit:5245_conv:10490,utterance,listener,Date them both? Then pick which one you like the most.,questioning
hit:5245_conv:10490,utterance,speaker,Thanks I was planning on that lol...I'm saying I wonder who'll bite first,acknowledging
hit:5245_conv:10490,utterance,listener,you should bite first and take them both home!,suggesting
hit:1394_conv:2789,situation,none,I hate going to the dentist. I have an appointment coming up and I don't want to go. I have a tooth that has been hurting me for awhile and I have already put it off.,anticipating
hit:1394_conv:2789,utterance,speaker,I have a dentist appointment next week. I hate going to the dentist. I don't want to go.,anxious
hit:1394_conv:2789,utterance,listener,I went through that for like 5 years.  Ended up finally going and they've made a lot of advances in comfort since I last went before that.,impressed
hit:1394_conv:2789,utterance,speaker,I have a tooth that has been bothering me and I've already put this off for so long.,anticipating
hit:1394_conv:2789,utterance,listener,"Yeah, you should definitely bite the bullet (metaphorically).  It'll only get worse from here if you don't do anything, and it probably won't be as bad as you worry.",agreeing
hit:11923_conv:23846,situation,none,The time I waited to see if I got accepted in to school. I was so excited.,anticipating
hit:11923_conv:23846,utterance,speaker,Just waiting for the letter had me so excited.,anticipating
hit:11923_conv:23846,utterance,listener,what letter? please share this experience with me,questioning
hit:11923_conv:23846,utterance,speaker,My schools acceptance letter to my program I wanted to join.,proud
hit:11923_conv:23846,utterance,listener,"oh wow! that is such good news! i am so happy for you, what are you going to study there?",questioning
hit:3843_conv:7686,situation,none,I'm going to try out for our local kickball team. I'm looking forward to get some exercise and make new friends.,hopeful
hit:3843_conv:7686,utterance,speaker,I'm going to try out for our local kickball team. I'm looking forward to get some exercise and make new friends,excited
hit:3843_conv:7686,utterance,listener,Yes sports can be a great way to socialize and also stay in good shape.,agreeing
hit:3843_conv:7686,utterance,speaker,"If I don't get on the team, I'll just try for another.",disappointed
hit:3843_conv:7686,utterance,listener,Thats the spirit! I bet you do great.  what sports do you play?,encouraging
hit:11158_conv:22317,situation,none,"I'm eagerly awaiting another festive season,especially the black friday",anticipating
hit:11158_conv:22317,utterance,speaker,"I'm eagerly awaiting another festive season,especially the black friday"".",anticipating
hit:11158_conv:22317,utterance,listener,I stay home on black Friday. Too many people for me.,lonely
hit:11158_conv:22317,utterance,speaker,I'm awaiting shopping spree,anticipating
hit:11158_conv:22317,utterance,listener,I'm sure you will have fun.,confident
hit:7060_conv:14121,situation,none,Going to Florida soon!,excited
hit:7060_conv:14121,utterance,speaker,I can't wait for next month,anticipating
hit:7060_conv:14121,utterance,listener,What is going to happen in September?,questioning
hit:7060_conv:14121,utterance,speaker,We're taking my nephew to Panama City!,excited
hit:7060_conv:14121,utterance,listener,Wow! I bet he will love that.,encouraging
hit:7060_conv:14121,utterance,speaker,Yeah he can't wait!  That's all he talks about lol,agreeing
hit:7060_conv:14121,utterance,listener,That is great that you are going to take him. He will always remember it.,acknowledging
hit:7060_conv:14121,utterance,speaker,Yeah it's his first time seeing a beach too!  So thrilled!,excited
hit:4531_conv:9062,situation,none,i cant wait to go on my trip next week,excited
hit:4531_conv:9062,utterance,speaker,i cant wait to go on my trip next week,excited
hit:4531_conv:9062,utterance,listener,Oh yea? when is the trip?,questioning
hit:4531_conv:9062,utterance,speaker,next week its gonna be great,excited
hit:4531_conv:9062,utterance,listener,I bet you are going with a loved one that's why you are so anxious about the trip,acknowledging
hit:8590_conv:17181,situation,none,I'm excited to start a new project at work,excited
hit:8590_conv:17181,utterance,speaker,I'm excited to start a new project at work,excited
hit:8590_conv:17181,utterance,listener,Cool. Are you in charge?,questioning
hit:8590_conv:17181,utterance,speaker,"yeah I have my own team, but I'll need to put in a lot of time",neutral
hit:8590_conv:17181,utterance,listener,Sounds like a lot of work ahead,acknowledging
hit:9101_conv:18202,situation,none,I think the cops are coming to my house tonight.,afraid
hit:9101_conv:18202,utterance,speaker,I think the cops are coming to my house tonight.,afraid
hit:9101_conv:18202,utterance,listener,Why?,questioning
hit:9101_conv:18202,utterance,speaker,A bunch of my friends are police oficers and we are going to play poker when they get off if they get off in time.  I am really looking forward to it.,excited
hit:9101_conv:18202,utterance,listener,"Ah ah, have fun.",encouraging
hit:5226_conv:10452,situation,none,I'm so ready for the weekend. I'm going camping.,excited
hit:5226_conv:10452,utterance,speaker,I've been working really hard this entire week. I'm ready for the weekend. I'm going on a camping trip!,prepared
hit:5226_conv:10452,utterance,listener,That sounds exciting! The hard work will pay off. I've always wanted to camp. Have you done it before?,questioning
hit:5226_conv:10452,utterance,speaker,"Yes, I have! I've planned several trips like this.",confident
hit:5226_conv:10452,utterance,listener,"Is it just you, or will others be joining you?",questioning
hit:5226_conv:10452,utterance,speaker,It's just me. I like the solitude.,lonely
hit:2763_conv:5526,situation,none,I am getting ready to go on a vacation to China. The anticipation is really exciting but it is also pretty exasperating. There seems like there are a million things I still need to do before I go.,anticipating
hit:2763_conv:5526,utterance,speaker,Hi! how are you? I'm getting ready to go on a vacation and am really excited!,joyful
hit:2763_conv:5526,utterance,listener,Cool! Where are you going?,questioning
hit:2763_conv:5526,utterance,speaker,I'm going to China!,excited
hit:2763_conv:5526,utterance,listener,That's pretty awesome. I have never been that far!,acknowledging
hit:2763_conv:5526,utterance,speaker,"Yeah I really like to take tourist vacations rather than relaxation vacations, how far have you been?",questioning
hit:2763_conv:5526,utterance,listener,Mexico. I went to cozumel once,faithful
hit:10569_conv:21139,situation,none,I have been greatly awaiting the start of NFL football season! It is my favorite past time on sundays in the fall.,anticipating
hit:10569_conv:21139,utterance,speaker,I am so excited for week 1 of the NFL season! Football is my favorite sport.,excited
hit:10569_conv:21139,utterance,listener,I love football too! I even catch a lot of the preseason. This is one of the best times of the year. Who are you rooting for?,questioning
hit:10569_conv:21139,utterance,speaker,"My favorite team is the Chicago Bears! Haha, I don't have high expectations though. How about you?",hopeful
hit:10569_conv:21139,utterance,listener,I like the ravens and I also don't have high expectations! Haha,anticipating
hit:7636_conv:15272,situation,none,I am hoping to find a good job,hopeful
hit:7636_conv:15272,utterance,speaker,I am still looking for a job,hopeful
hit:7636_conv:15272,utterance,listener,What kind of job are you looking for?,questioning
hit:7636_conv:15272,utterance,speaker,Accounting,prepared
hit:7636_conv:15272,utterance,listener,Have you applied anywhere?,questioning
hit:7636_conv:15272,utterance,speaker,Yes I have been applying,confident
hit:3124_conv:6249,situation,none,I need to buy some clothes for winter. I need a new jacket and boots.,prepared
hit:3124_conv:6249,utterance,speaker,I need to buy some clothes for winter. I need a new jacket and boots.,prepared
hit:3124_conv:6249,utterance,listener,5,apprehensive
hit:3124_conv:6249,utterance,speaker,Winter come so quickly. So I need to be well prepared in advance.,prepared
hit:3124_conv:6249,utterance,listener,We have cold winters but hardly ever any snow. I'm glad too,grateful
hit:11660_conv:23321,situation,none,i am thinking the chargers are going to be great! we have a really good roster,anticipating
hit:11660_conv:23321,utterance,speaker,the chargers are set up for a great season!,prepared
hit:11660_conv:23321,utterance,listener,"I agree, are you looking forward to them winning some silverware?",agreeing
hit:11660_conv:23321,utterance,speaker,i sure hope so! the roster is good,encouraging
hit:11660_conv:23321,utterance,listener,"Yep, and I think they will be playing fantastically well. No one stands a chance!",confident
hit:2950_conv:5901,situation,none,I'm going shopping with my mom tomorrow. I can't wait.,excited
hit:2950_conv:5901,utterance,speaker,I'm going shopping tomorrow! yay,excited
hit:2950_conv:5901,utterance,listener,What are you planning on buying?,questioning
hit:2950_conv:5901,utterance,speaker,ACtually Im going with my mom. She always buys whatever I want,trusting
hit:2950_conv:5901,utterance,listener,"You self-entitled brat! Just kidding, your mother loves you",angry
hit:2950_conv:5901,utterance,speaker,Lol. Its very nice. Se knows I can't afford crap lol,acknowledging
hit:9779_conv:19559,situation,none,Can't wait for the weekend,excited
hit:9779_conv:19559,utterance,speaker,Man this weekend is gonna be awesome.  Can't wait!,excited
hit:9779_conv:19559,utterance,listener,what are you gonna do,questioning
hit:9779_conv:19559,utterance,speaker,We're taking the kids to the lake!,joyful
hit:9779_conv:19559,utterance,listener,oh that sounds nice,acknowledging
hit:9779_conv:19559,utterance,speaker,yeah we haven't been in a while.  Hope we catch some big fish!,encouraging
hit:8807_conv:17615,situation,none,School starts tomorrow and I can't wait!,anticipating
hit:8807_conv:17615,utterance,speaker,I'm so excited that school starts tomorrow. I need a break!,excited
hit:8807_conv:17615,utterance,listener,I know right. Mine started yesterday,agreeing
hit:8807_conv:17615,utterance,speaker,Mine are acting extra bad today for some reason!,annoyed
hit:8807_conv:17615,utterance,listener,They want you to remember their last summer vacation day with you.,sentimental
hit:8807_conv:17615,utterance,speaker,Yeah I definitely won't forget!,agreeing
hit:8807_conv:17615,utterance,listener,I wouldnt dare home school. lol,angry
hit:8807_conv:17615,utterance,speaker,I honestly don't understand the whole concept of homeschool..like why???,questioning
hit:8807_conv:17615,utterance,listener,me either. that;s no preparation for the world,agreeing
hit:7514_conv:15028,situation,none,Me and my partner are expecting our baby to arrive in two month. It will be our first baby,anticipating
hit:7514_conv:15028,utterance,speaker,My partner and I are expecting our first baby to arrive in two month. I am going to be a dad hopefully,anticipating
hit:7514_conv:15028,utterance,listener,Yay. thats one of the most exciting things that can happen in life!,excited
hit:7514_conv:15028,utterance,speaker,Indeed. The joy of becoming a parent is overwhelming and I wish for my child to arrive in health and safety,caring
hit:7514_conv:15028,utterance,listener,"Yes and i know they will, and you will lice a very happy life.",agreeing
hit:697_conv:1395,situation,none,I can't hardly wait for the outcome of Strzok testimony yesterday. It would be interesting to watch for time to come. Criminal investigation coming to conclusion and what to do about Strzok and his evilness.,anticipating
hit:697_conv:1395,utterance,speaker,I can't hardly wait for the outcome of Congressional inquiry into the Strzok testimony yesterday.,anticipating
hit:697_conv:1395,utterance,listener,I have no idea what that is.,afraid
hit:697_conv:1395,utterance,speaker,Indeed. It would be interesting to watch for time to come. Criminal investigation coming to conclusion and what to do about Strzok and his thug evildoing.,anticipating
hit:697_conv:1395,utterance,listener,OH. If he is guilty I hope he gets what's coming to him.,consoling
hit:10184_conv:20368,situation,none,I wish to be at my friend's birthday tomorrow,hopeful
hit:10184_conv:20368,utterance,speaker,"I as not invited for unknown reasons,but i wish to be there",hopeful
hit:10184_conv:20368,utterance,listener,Where were you not invited to?,questioning
hit:10184_conv:20368,utterance,speaker,Its my friend's birthday,joyful
hit:10184_conv:20368,utterance,listener,You were not invited?! That's awful. How close are you to your friend?,questioning
hit:1837_conv:3675,situation,none,I live everyday expecting to be a better version of myself at that present moment.  That way I can feel closer and closer to living the idea life I want for myself,anticipating
hit:1837_conv:3675,utterance,speaker,I go to bed every night expecting to wake up a better version of myself than the day before.,hopeful
hit:1837_conv:3675,utterance,listener,that is a very positive way to think i wish i could think like you,neutral
hit:1837_conv:3675,utterance,speaker,"Anybody can do it, it's really easy.  Just gotta count your blessings",grateful
hit:1837_conv:3675,utterance,listener,ill try my best and see where it gets me,hopeful
hit:6010_conv:12020,situation,none,Each week I look forward to one day and one day only. Fridays are what get us all through the rest of the week,anticipating
hit:6010_conv:12020,utterance,speaker,Each week I look forward to one day and one day only.,anticipating
hit:6010_conv:12020,utterance,listener,What day is that?,questioning
hit:6010_conv:12020,utterance,speaker,Friday! Fridays are what get us all through the rest of the week,joyful
hit:6010_conv:12020,utterance,listener,Yes Fridays are wonderful!,joyful
hit:6738_conv:13477,situation,none,School starts next week!  Hooray!  I can't wait to see my youngest start high school!,excited
hit:6738_conv:13477,utterance,speaker,"Summer is almost over, school is starting again soon.",joyful
hit:6738_conv:13477,utterance,listener,I feel your pain totally.  I take an online class and I am a teacher at a new school this year,agreeing
hit:6738_conv:13477,utterance,speaker,My daughter will be a freshman in high school.  I am so stoked about it!!!,excited
hit:6738_conv:13477,utterance,listener,Fun times!  Makes you think back to being in HS.  I am working in a HS this time.,nostalgic
hit:4769_conv:9538,situation,none,I was waiting to see if I had won the contest!,anticipating
hit:4769_conv:9538,utterance,speaker,I was checking mail everyday to see if I had won the contest,anticipating
hit:4769_conv:9538,utterance,listener,Any luck yet on that?,questioning
hit:4769_conv:9538,utterance,speaker,"Nothing yet, the suspense is killing me!",anxious
hit:4769_conv:9538,utterance,listener,"Well, I wish you luck. Maybe you need a distraction.",wishing
hit:6698_conv:13397,situation,none,I'm really excited for dove season that starts next month.,anticipating
hit:6698_conv:13397,utterance,speaker,I'm really excited for dove season that starts next month,excited
hit:6698_conv:13397,utterance,listener,That sounds fun. What are you most excited about?,questioning
hit:6698_conv:13397,utterance,speaker,The dove hunting part.,proud
hit:6698_conv:13397,utterance,listener,I've never been dove hunting. It sounds interesting.,suggesting
hit:6698_conv:13397,utterance,speaker,"Its fun as far as birt hunting goes.  They're small and fly very fast, as compared to most other birds.",joyful
hit:5522_conv:11044,situation,none,I got some BHB salts that are for keto in the mail today and I am VERY intrigued and couldn't wait to try them! I sometimes eat too many carbs or sugar now and again and wanted a way to get back in too ketosis quicker.,anticipating
hit:5522_conv:11044,utterance,speaker,I got some BHB salts that are for keto in the mail today and I am VERY intrigued and couldn't wait to try them!,anticipating
hit:5522_conv:11044,utterance,listener,What are they for?,questioning
hit:5522_conv:11044,utterance,speaker,I sometimes eat too many carbs or sugar now and again and wanted a way to get back in too ketosis quicker,guilty
hit:5522_conv:11044,utterance,listener,"Ah okay, that is good then, I hope they are effective for you!",encouraging
hit:5522_conv:11044,utterance,speaker,"It helps you get back into ketosis ""fat burning"" basically. Thanks! I hope so too!",encouraging
hit:4666_conv:9333,situation,none,I am looking forward to my paycheck on Friday!  I am expecting a bonus!,anticipating
hit:4666_conv:9333,utterance,speaker,I am looking forward to my paycheck on Friday!  I am expecting a bonus!,anticipating
hit:4666_conv:9333,utterance,listener,awesome! extra money is always welcome right! Any special plans with it?,questioning
hit:4666_conv:9333,utterance,speaker,"Yeah,  paying off bills and taking my wife out to dinner!",joyful
hit:4666_conv:9333,utterance,listener,so sweet of you and sounds like a lot of fun enjoy!,acknowledging
hit:4666_conv:9333,utterance,speaker,I will!  It will be a welcome windfall!,joyful
hit:6155_conv:12311,situation,none,"I cannot wait for the newest Pokemon game, it looks amazing to me!",anticipating
hit:6155_conv:12311,utterance,speaker,"I cannot wait for the newest Pokemon game, it looks amazing to me!",anticipating
hit:6155_conv:12311,utterance,listener,Those games do seem fun,acknowledging
hit:6155_conv:12311,utterance,speaker,"I cannot wait for the newest Pokemon game, it looks amazing to me!",anticipating
hit:6155_conv:12311,utterance,listener,Those games do seem fun,acknowledging
hit:10346_conv:20693,situation,none,Love to cruise.  Have a 14 day coming up.  So looking forward to unplugging for 2 weeks.,anticipating
hit:10346_conv:20693,utterance,speaker,I have a long cruise coming up,anticipating
hit:10346_conv:20693,utterance,listener,"Wow,  tell me about it",questioning
