Dialog_ID,Type,Actor,Text
hit:8043_conv:16086,utterance,listener,"Yea, my phone is pretty expensive.  Im not giving my phone to anybody"
hit:3029_conv:6058,situation,none,I'm amazed at how fast and hard my boss can work for long periods of time!
hit:3029_conv:6058,utterance,speaker,I can't believe how much work my boss is able to do every day without getting tired out or slowing down!
hit:3029_conv:6058,utterance,listener,Some people have incredible energy and drive!
hit:3029_conv:6058,utterance,speaker,It's amazing to watch! It's one of the few occasions where you can just watch a person and understand WHY they have the position they're in!
hit:3029_conv:6058,utterance,listener,True! Often managers do not deserve that role. I am glad he does!
hit:6919_conv:13838,situation,none,My daughter got first place with her horse at the fair.
hit:6919_conv:13838,utterance,speaker,My daughter got first place with her horse at the fair.
hit:6919_conv:13838,utterance,listener,thats awesome! do you guys raise multiple horses?
hit:6919_conv:13838,utterance,speaker,Yes we do. She did so well.
hit:6919_conv:13838,utterance,listener,i would love to be able to have horses
hit:2708_conv:5416,situation,none,watching America's Got Talent
hit:2708_conv:5416,utterance,speaker,My kids got me started watching the show America's Got Talent. It's really quite amazing how many talented people are out there!
hit:2708_conv:5416,utterance,listener,Oh yes. I love that show I can relate to real life families.
hit:2708_conv:5416,utterance,speaker,"Same here! Have you seen the one guy with the family of adopted boys? What an amazing person, and a great talent!"
hit:2708_conv:5416,utterance,listener,"Yes, I saw him. Very blessed and talented man."
hit:2162_conv:4325,situation,none,I met my kids teacher yesterday. She is young but very smart. I was kind of amazed.
hit:2162_conv:4325,utterance,speaker,I got to meet my kids teacher yesterday.
hit:2162_conv:4325,utterance,listener,Oh yeah? I bet that was exciting for both of you. Open house at their school?
hit:2162_conv:4325,utterance,speaker,Yep. I was surprised because she is so young but she seemed really accomplished.
hit:2162_conv:4325,utterance,listener,"I had an experience similar to that as well. Their teachers look like they should still be in High School. But, they are so eager to do well I get excited with my kids for the school year."
hit:2162_conv:4325,utterance,speaker,Thats exactly how I feel. Some teachers seems like they just want the check and wee all know teachers don't get paid much.
hit:2162_conv:4325,utterance,listener,"Definatly. I would not want to do that job, with such alful pay unless I loved the work. Wouldn't be fair to anyone involved."
hit:2162_conv:4325,utterance,speaker,That is so true. I think she is gonna do great though.
hit:10448_conv:20897,situation,none,My wife has really stepped up her cooking lately. I'm eating so healthy these days and the weight keeps dropping!
hit:10448_conv:20897,utterance,speaker,My wife's cooking is amazing these days. She has really come a long way from when we first met.
hit:10448_conv:20897,utterance,listener,That's wonderful!  It's a lot of work learning to cook.
hit:10448_conv:20897,utterance,speaker,I can only grill food on a barbecue pit. She has learned how to create new dishes I have never even thought possible.
hit:10448_conv:20897,utterance,listener,Grilling is a skill too!  Sounds like she is really enjoying cooking.  It's really an artform
hit:4427_conv:8854,situation,none,I once saw the music sheet of the best clarinet player in our band. There were markers all over it and it showed how much she practiced.
hit:4427_conv:8854,utterance,speaker,I once saw the music sheet of the best clarinet player in my high-school band.
hit:4427_conv:8854,utterance,listener,"Oh that really cool.. I bet it was really complicated, huh?"
hit:4427_conv:8854,utterance,speaker,Exactly. There were marks all over it and it showed how much she practiced.
hit:4427_conv:8854,utterance,listener,It is always awesome to see a genius at work. a glimpse into their passion
hit:10015_conv:20031,situation,none,My little child is dancing now. I'm amazing about her talent.
hit:10015_conv:20031,utterance,speaker,My little child is dancing now.
hit:10015_conv:20031,utterance,listener,How sweet that is. Enjoy all these little moments. Snap a picture if you can to remember it.
hit:10015_conv:20031,utterance,speaker,"Yeah, I'm doing. I just amazed with her dance."
hit:10015_conv:20031,utterance,listener,I wish I could see her doing it. Who knows maybe you have a future ballerina on your hands.
hit:8806_conv:17613,situation,none,i loved taking care of my sisters pet
hit:8806_conv:17613,utterance,speaker,i loved taking care of my sisters pet
hit:8806_conv:17613,utterance,listener,Neat! What kind of pet does your sister have?
hit:8806_conv:17613,utterance,speaker,a bearded dragon
hit:8806_conv:17613,utterance,listener,That is so cool! What do you feed it?
hit:9304_conv:18609,situation,none,I watched a man eat a 5 pound ham.  I was very inspired by his act.
hit:9304_conv:18609,utterance,speaker,I watched a man eat a 5 pound ham.
hit:9304_conv:18609,utterance,listener,"oh my god, thats alot of ham, Did he throw it up after?"
hit:9304_conv:18609,utterance,speaker,"No, he didn't.  I was very inspired by the act."
hit:9304_conv:18609,utterance,listener,"Thats a real eater right there, big belly."
hit:1988_conv:3976,situation,none,I went and saw a classical piano performance this weekend and could not believe how good it was.  It might have been on the best live performances I have ever seen
hit:1988_conv:3976,utterance,speaker,Last weekend I was dragged to a live piano performance at a local concert hall.  I came away thinking it might have been one of the best live shows I have ever seen!
hit:1988_conv:3976,utterance,listener,"That's great, from the sound of it, your probably thought it was going to be boring, huh?"
hit:1988_conv:3976,utterance,speaker,"I did, but I was so enthralled by the entire thing.  The pianist was amazing!"
hit:1988_conv:3976,utterance,listener,That must have been very entertaining to watch then. I'm glad you enjoyed it so much.
hit:1988_conv:3976,utterance,speaker,I would surely go to more concerts if they were like that!
hit:5191_conv:10383,situation,none,My son wiped himself for the first time today!
hit:5191_conv:10383,utterance,speaker,My son wiped himself for the first time today!
hit:5191_conv:10383,utterance,listener,"Wow, that's great! How old is he?"
hit:5191_conv:10383,utterance,speaker,He is 4.  He seemed a bit young but my wife said give it a go and he did it.
hit:5191_conv:10383,utterance,listener,"That's great, it can take awhile for boys to get the hang of it all."
hit:4368_conv:8736,situation,none,I remeber the time a buddy did a backflip in school
hit:4368_conv:8736,utterance,speaker,In front of everyone my friend jumped off the lunch table and did a backflip.
hit:4368_conv:8736,utterance,listener,"That's an interesting way to get attention. What spurred that on? Was it a dare, or was he just feeling wild?"
hit:4368_conv:8736,utterance,speaker,He is a crazy guy.  he said watch this and just hoped up on the table.
hit:4368_conv:8736,utterance,listener,Interesting.. Did he get in trouble? Was this at a high school or something? And does he take gymnastics?! Back flips are hard!
hit:1228_conv:2457,situation,none,I am in awe when people turn their live's around for the better
hit:1228_conv:2457,utterance,speaker,I am in awe when people turn their live's around for the better
hit:1228_conv:2457,utterance,listener,Me too! I helped a guy with his immigration case and saved him from being deported. He ended up becoming a pastor.
hit:1228_conv:2457,utterance,speaker,that is amazing and inspiring!
hit:1228_conv:2457,utterance,listener,He deserved it. He was fighting for his life.
hit:6866_conv:13732,situation,none,I saw a magician at a bar the other night. He was really good. Some of his tricks were i couldnt figure out at all
hit:6866_conv:13732,utterance,speaker,I am always amazed when people poses talent
hit:6866_conv:13732,utterance,listener,Yeah me too. Some people have some amazing talents.
hit:6866_conv:13732,utterance,speaker,I was out to dinner the other night a I saw a magician do some amazing card tricks.  I couldnt figure them out and I was blown away
hit:6866_conv:13732,utterance,listener,Yeah magic is pretty great!
hit:2338_conv:4677,situation,none,I saw someone play an entire song by themself at a talent show once.
hit:2338_conv:4677,utterance,speaker,I saw someone play an entire song by themself at a talent show once.
hit:2338_conv:4677,utterance,listener,Oh nice. What instrument did they play?
hit:2338_conv:4677,utterance,speaker,They were singing and playing the drums and guitar at the same time.
hit:2338_conv:4677,utterance,listener,That's pretty amazing!
hit:1140_conv:2280,situation,none,I was watching a YouTube video yesterday of some Asian guy chopping down a full grown banana tree with just Muay Thai kicks...it was pretty awesome
hit:1140_conv:2280,utterance,speaker,I saw a video of an Asian guy chopping down a banana tree with leg kicks..it was pretty insane
hit:1140_conv:2280,utterance,listener,"That is really weird, did he actually knock the tree down and how thick was the tree?"
hit:1140_conv:2280,utterance,speaker,It was a full grown banana tree.  Before that he was kicking steel street sign posts and bending them out of shape...then he moved onto the banana tree and cut through it like butter!
hit:1140_conv:2280,utterance,listener,I wonder how long it would take him to kick through a large and wide tree.
hit:5446_conv:10893,situation,none,I was surprised yesterday watching a little kid on Youtube at a shooting range.  He shot a .45 magnum at a bullseye 3 times with perfect form! It was cool
hit:5446_conv:10893,utterance,speaker,"I saw a little kid hit a bullseye at a shooting range with a .45 magnum.  He did it 3 times too, it was cool"
hit:5446_conv:10893,utterance,listener,"That's impressive but, 45 mags are rare. are you sure it wasn't a 44 magnum?"
hit:5446_conv:10893,utterance,speaker,that's what it said in the youtube video
hit:5446_conv:10893,utterance,listener,Interesting.  It is a real bullet.
hit:6091_conv:12183,situation,none,booked a cheap hotel for my work trip and its surprisingly upscale and nice
hit:6091_conv:12183,utterance,speaker,I booked a cheap mystery hotel room on Hotels.com and was pretty happy to find out when I got in that it's a 4 star hotel!
hit:6091_conv:12183,utterance,listener,Its nice to find good deals
hit:6091_conv:12183,utterance,speaker,"I agree, was pleasantly surprised at how nice it is! Really lucked out"
hit:6091_conv:12183,utterance,listener,I hope you have fun
hit:5804_conv:11609,situation,none,My son's new house is very big and luxurious
hit:5804_conv:11609,utterance,speaker,I saw my son's new house and its quite big and luxurious!
hit:5804_conv:11609,utterance,listener,"Good, are you happy for him?"
hit:5804_conv:11609,utterance,speaker,Yes and I am impressed that he can afford it all! Its much more than what I had at that age!
hit:5804_conv:11609,utterance,listener,"Yes, well children do have to be better than parents, evolution you know."
hit:2285_conv:4570,situation,none,I just had the best meal from the tiniest little restaurant.
hit:2285_conv:4570,utterance,speaker,I just found the sweetest restaurant.
hit:2285_conv:4570,utterance,listener,That's great! I hope you enjoyed the food..
hit:2285_conv:4570,utterance,speaker,IT was great. It a tiny new restaurant in my neighborhood. I don't think any one knows its open yet.
hit:2285_conv:4570,utterance,listener,Keep it that way. If too many people find out it might ruin the experience.
hit:2285_conv:4570,utterance,speaker,I know. Its my little secret.
hit:3317_conv:6634,situation,none,I love the new Tesla.
hit:3317_conv:6634,utterance,speaker,I love the new Tesla.
hit:3317_conv:6634,utterance,listener,I love it too! It's really fancy.
hit:3317_conv:6634,utterance,speaker,"I took it for a test drive, man it is fast."
hit:3317_conv:6634,utterance,listener,I know right! It's weird how it's faster than a gasoline car.
hit:12219_conv:24438,situation,none,The team from my home state went to the LLWS USA championship game!
hit:12219_conv:24438,utterance,speaker,My home state was represented in the LLWS!
hit:12219_conv:24438,utterance,listener,thats great! what is llws?
hit:12219_conv:24438,utterance,speaker,Little League World Series
hit:12219_conv:24438,utterance,listener,that's great! my kids played baseball
hit:9957_conv:19915,situation,none,My dog did his first trick today. I was so proud.
hit:9957_conv:19915,utterance,speaker,My dog performed his first trick today!
hit:9957_conv:19915,utterance,listener,Whoo! What trick was it? How old is he?
hit:9957_conv:19915,utterance,speaker,He rolled over! He's 2 years old and he is such a smart little pup. I was so proud when he finally did after weeks of training.
hit:9957_conv:19915,utterance,listener,So cute! You must be so proud! You should teach him more tricks!
hit:9957_conv:19915,utterance,speaker,I am! Hopefully he'll learn how to shake here pretty soon.
hit:6426_conv:12853,situation,none,My brother just graduated with honors. So proud of him.
hit:6426_conv:12853,utterance,speaker,My brother just graduated college with honors.
hit:6426_conv:12853,utterance,listener,"wow, thats awesome"
hit:6426_conv:12853,utterance,speaker,Yeah I am so proud of him. He worked hard for it.
hit:6426_conv:12853,utterance,listener,"yah, truly hard work pays"
hit:1350_conv:2701,situation,none,My daughter is such a good teenager. She works full time and is still going to high school. She makes great grades and is on the National Honor Society. She really amazes me.
hit:1350_conv:2701,utterance,speaker,My daughter is such a hard worker. She goes to high school and works full time.
hit:1350_conv:2701,utterance,listener,Wow. Can she handle all of that?
hit:1350_conv:2701,utterance,speaker,She is doing great. She also makes really good grades and is on the National Honor Society.
hit:1350_conv:2701,utterance,listener,Thats awesome. She will do great in college.
hit:4182_conv:8365,situation,none,At age 5 Months my son started to walk
hit:4182_conv:8365,utterance,speaker,I couldnt believe it when my son started walking at 5 months of age
hit:4182_conv:8365,utterance,listener,"Awesome, sounds like he's ahead of f the curve. You must be proud."
hit:4182_conv:8365,utterance,speaker,I was jumping with joy when it happened
hit:4182_conv:8365,utterance,listener,Congradulations.
hit:233_conv:466,situation,none,"I was at a talent show and I saw a man playing an entire song by himself, he played the guitar, drums, and sang all at once, it was really crazy to see."
hit:233_conv:466,utterance,speaker,"Hey, I was at this talent show recently. I saw this guy playing a whole song by himself it was crazy."
hit:233_conv:466,utterance,listener,What song was it? Did you know it?
hit:233_conv:466,utterance,speaker,"Yeah it was Ride the Lightning by Metallica, which made it even more impressive because it's a very technical and fast song."
hit:233_conv:466,utterance,listener,Man that is crazy! Especially that song!
hit:2953_conv:5906,situation,none,I am very amazed about how great the circus was.
hit:2953_conv:5906,utterance,speaker,I am very amazed about how great the circus was.
hit:2953_conv:5906,utterance,listener,Oh yeah? I heard the circus had to close recently. What is your favorite part?
hit:2953_conv:5906,utterance,speaker,The big ending with the elephants.
hit:2953_conv:5906,utterance,listener,Elephants are pretty cool. I wonder if they actually like peanuts?
hit:2449_conv:4898,situation,none,My son spoke his first word yesterday. I was so proud.
hit:2449_conv:4898,utterance,speaker,My son spoke his first word yesterday. I was so impressed and proud.
hit:2449_conv:4898,utterance,listener,Congrats! How old is your son?
hit:2449_conv:4898,utterance,speaker,He turns 1 this month! He is growing up so fast.
hit:2449_conv:4898,utterance,listener,What was his first word?
hit:6499_conv:12999,situation,none,My girlfriend has been saving money for years. Last month she finally had enough saved up so that she was able to buy a super fancy new car.
hit:6499_conv:12999,utterance,speaker,My girlfriend has been saving up money for years. Last month she finally bought the fanciest car of her dreams with all of that money.
hit:6499_conv:12999,utterance,listener,Cool! I'd love to be patient like that
hit:6499_conv:12999,utterance,speaker,Yeah she's very patient and frugal. She really knows what she's doing.
hit:6499_conv:12999,utterance,listener,Well done to her. I  hope she enjoys the reward
hit:9311_conv:18623,situation,none,I tried a new lasagna recipe and it turned out amazing!
hit:9311_conv:18623,utterance,speaker,I tried a new lasagna recipe and it turned out amazing!
hit:9311_conv:18623,utterance,listener,Really! That's awesome! Was there something new in it you don't usually use?
hit:9311_conv:18623,utterance,speaker,Yeah quote a few ingredients and a littlr e more work but totally worth  it
hit:9311_conv:18623,utterance,listener,I think lasagna is one of my favorite things to make
hit:8333_conv:16666,situation,none,When my daughter ate a food she's never had before for the first time!
hit:8333_conv:16666,utterance,speaker,My five year old daughter is an extremely picky eater.
hit:8333_conv:16666,utterance,listener,What does she like to eat?
hit:8333_conv:16666,utterance,speaker,"Junk food, mainly. Tonight I'm shocked that we got her to try a piece of pasta salad."
hit:8333_conv:16666,utterance,listener,Well that is step in the right direction at least
hit:8972_conv:17945,situation,none,I just saw the Acropolis when I was on vacation and it was amazing. Everyone should see it!
hit:8972_conv:17945,utterance,speaker,I saw the Acropolis when I was on vacation. It was pretty cool!
hit:8972_conv:17945,utterance,listener,Cool! Did you go to Greece for vacation?
hit:8972_conv:17945,utterance,speaker,Yeah you should definitly go if you get a chance. It was really great!
hit:8972_conv:17945,utterance,listener,"Sounds awesome, I've never been to Europe"
hit:8544_conv:17088,situation,none,I passed all my classes last semester with all A's I couldnt believe I was capable of that.
hit:8544_conv:17088,utterance,speaker,I made all A's in my classes last semester. I did not think I was capable of that.
hit:8544_conv:17088,utterance,listener,"Wow, great job friend, that is no easy feat!"
hit:8544_conv:17088,utterance,speaker,It has really inspired me to do well in my new semester.
hit:8544_conv:17088,utterance,listener,"Good, use it as a catapault, that is a great idea!"
hit:2647_conv:5295,situation,none,I am pleased with my children's score
hit:2647_conv:5295,utterance,speaker,I am pleased with my children's score at school
hit:2647_conv:5295,utterance,listener,Thats always a good thing.  Did you give them a fun reward?
hit:2647_conv:5295,utterance,speaker,I bought them new cloths and we are all going to Disney World  this weekend
hit:2647_conv:5295,utterance,listener,Thats so cool..  I live in Orlando.. I'll wave to you guys!
hit:4967_conv:9935,situation,none,My daughter is a National Honor Society student. She will be a senior this year and I am so proud of her. She amazes me more and more every day.
hit:4967_conv:9935,utterance,speaker,My daughter is going to be a senior in high school this year. She is a National Honor Society student. This is such a huge accomplishment.
hit:4967_conv:9935,utterance,listener,That is very impressive! my brother in law is starting his senior year as well
hit:4967_conv:9935,utterance,speaker,I am so proud of her and can't wait to see what the future holds for her. I'm sure it will be great things.
hit:4967_conv:9935,utterance,listener,"Certainly, does she have a college in mind?"
hit:3928_conv:7857,situation,none,it was impressive when the lakers signed lebron
hit:3928_conv:7857,utterance,speaker,it was impressive when the lakers signed lebron
hit:3928_conv:7857,utterance,listener,Yes that was an exciting moment for him and for the team as well!
hit:3928_conv:7857,utterance,speaker,me too .. i hope they stomp the warriors
hit:3928_conv:7857,utterance,listener,"I have a feeling that with Lebron on their team, they are going to do just that."
hit:247_conv:495,situation,none,I am impress by the fact that Croatia is in the world cup final.
hit:247_conv:495,utterance,speaker,I am impress by the Croatian team.They beat England and got to the world cup final.
hit:247_conv:495,utterance,listener,Wow I did not know that!
hit:247_conv:495,utterance,speaker,It was a huge upset.The England team was the favorite.
hit:247_conv:495,utterance,listener,Oh no. Were you upset as well?
hit:247_conv:495,utterance,speaker,No.I do not care about England.
hit:7092_conv:14184,situation,none,I really was taken back by how good Metallica was in concert.
hit:7092_conv:14184,utterance,speaker,I was really taken back by how good Metallica was in concert.
hit:7092_conv:14184,utterance,listener,Really?  I've always wanted to see them!  When did you go
hit:7092_conv:14184,utterance,speaker,I went this summer. They rocked out.
hit:7092_conv:14184,utterance,listener,Awesome!  So glad they're still rocking after all these years!
hit:9596_conv:19193,situation,none,I went to my nephews basketball game and he was the highest scorer on the team. I had no idea he was that good.
hit:9596_conv:19193,utterance,speaker,I went to my nephews basketball game and he was the highest scorer on the team. I had no idea he was that good.
hit:9596_conv:19193,utterance,listener,That sounds exciting!
hit:9596_conv:19193,utterance,speaker,He was so good. He really blew me away with his skill. He reminded me of Lebron James.
hit:9596_conv:19193,utterance,listener,How old is your nephew?
hit:652_conv:1305,situation,none,My friend looks a lot less strong than he actually is. I totally thought that he would have trouble curling a 35 lb dumbbell but he did it quite a few times! I am really proud of his gains!
hit:652_conv:1305,utterance,speaker,My friend really is stronger than he looks. I thought he would have issues curling 35 lbs but he did it pretty easily.
hit:652_conv:1305,utterance,listener,That's amazing! I wish I could lift that much.
hit:652_conv:1305,utterance,speaker,"I'm getting there myself, I can curl about 30 lbs. I'm pretty proud of his gains though."
hit:652_conv:1305,utterance,listener,You'll get there in no time. I believe in you.
hit:1436_conv:2872,situation,none,"My friend works, goes to school full-time and takes care of his sick mom."
hit:1436_conv:2872,utterance,speaker,"My friend works, goes to school full-time and takes care of his sick mom."
hit:1436_conv:2872,utterance,listener,Wow. I bet he is tired all the time. I drink coffee all day for energy
hit:1436_conv:2872,utterance,speaker,"He is tired all the time, but he tries to keep his goal in mind."
hit:1436_conv:2872,utterance,listener,"Yeah, it's very important to finish school so you don't have to work three jobs just to survive."
hit:8683_conv:17366,situation,none,My son said his first word today. I was so delighted!
hit:8683_conv:17366,utterance,speaker,My son said his first word today!
hit:8683_conv:17366,utterance,listener,That's amazing! Which word did he choose?
hit:8683_conv:17366,utterance,speaker,"He said ""flamingo""! I was so shocked and impressed!"
hit:8683_conv:17366,utterance,listener,omgoodness! I don't think I've even used flamingo in a sentence myself in a long time! He's clearly a prodigy!
hit:7554_conv:15109,situation,none,My dog just graduated his obedience course. I'm so proud of him.
hit:7554_conv:15109,utterance,speaker,So my dog just graduated from his obedience course at his doggy school thing. I'm proud of him.
hit:7554_conv:15109,utterance,listener,oh wow congrats! what kind of dog is he?
hit:7554_conv:15109,utterance,speaker,Thanks! He's a welsh corgi.
hit:7554_conv:15109,utterance,listener,I have always wanted a corgi. They're very cute dogs. How old is he?
hit:7554_conv:15109,utterance,speaker,"Yes, his cuteness is his best asset at the moment haha. He's about 9 months old now."
hit:7810_conv:15621,situation,none,I was walking down the beach the other day and saw a guy do a double backflip from the ground. I wish I could do that
hit:7810_conv:15621,utterance,speaker,I was walking down the beach and this guy did a double backflip from just the ground. I was amazed
hit:7810_conv:15621,utterance,listener,I would have cried right there.
hit:7810_conv:15621,utterance,speaker,I was super impressed. He must have been a gymnast or something
hit:7810_conv:15621,utterance,listener,I can barely walk much less imagine that.
hit:96_conv:192,situation,none,I went to a cheerleading event and a girl did a double backflip
hit:96_conv:192,utterance,speaker,So I was at cheeleading last night and this girl did a double backflip!
hit:96_conv:192,utterance,listener,Did she land?
hit:96_conv:192,utterance,speaker,Yeah! It was just really fast and she went up really high!
hit:96_conv:192,utterance,listener,Sweet. Did the crowd cheer?
hit:96_conv:192,utterance,speaker,Everyone got on there feet and clapped for her. She had to be only 10 or so.
hit:4780_conv:9560,situation,none,My brother has always wowed me with his ability to play baseball
hit:4780_conv:9560,utterance,speaker,My brothers baseball skills always wowed me
hit:4780_conv:9560,utterance,listener,How long has he been playing?
hit:4780_conv:9560,utterance,speaker,Since he was 4 years old
hit:4780_conv:9560,utterance,listener,so along time?
hit:9362_conv:18724,situation,none,I really like the new stadium my school built.
